"Timestamp","Meal Type","Gender","Which days do you go to the Cafeteria the most? ","Preferred sessions ","Favorite meal"
"2020/10/01 1:34:13 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Porridge yam, plain yam and stew;Semovita, poundo, eba with okra, egusi"
"2020/10/01 1:37:34 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Saturday","Evening","Fried yam with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Akara with pap, oat, custard"
"2020/10/01 1:47:00 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Fried rice"
"2020/10/01 1:47:53 PM GMT+1","Lunch, Dinner","Female","Monday;Friday","Evening","Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:48:58 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Porridge yam, plain yam and stew;Semovita, poundo, eba with okra, egusi"
"2020/10/01 1:49:43 PM GMT+1","Lunch, Dinner","Male","Thursday","Evening","Fried rice"
"2020/10/01 1:51:42 PM GMT+1","Lunch, Dinner","Male","Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 1:52:36 PM GMT+1","Lunch, Dinner","Female","Monday;Friday","Evening","Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:53:54 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 1:54:12 PM GMT+1","Lunch, Dinner","Male","Sunday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:54:41 PM GMT+1","Lunch, Dinner","Male","Sunday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain spaghetti and stew with boiled egg"
"2020/10/01 1:54:51 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 1:55:40 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:55:50 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Fried rice"
"2020/10/01 1:56:42 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 1:56:57 PM GMT+1","Lunch, Dinner","Male","Friday;Saturday","Afternoon","Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:57:25 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 1:57:53 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Wednesday;Friday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Plain rice with stew, gbadun;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain"
"2020/10/01 1:57:56 PM GMT+1","Lunch, Dinner","Male","Sunday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 1:58:02 PM GMT+1","Lunch, Dinner","Female","Monday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice"
"2020/10/01 1:58:02 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Fried potatoes with egg sauce, stew"
"2020/10/01 1:58:18 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 1:58:31 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/01 1:58:59 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 1:59:02 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Wednesday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 1:59:59 PM GMT+1","Lunch, Dinner","Male","Tuesday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:00:50 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:01:30 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Tuesday;Thursday;Friday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 2:01:44 PM GMT+1","Lunch, Dinner","Female","Monday;Wednesday;Thursday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:02:11 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Saturday","Morning","Akara with pap, oat, custard"
